student_id,gender,degree_field,internships_count,technical_skills_score,soft_skills_score,communication_score,work_experience_months,placed,salary_lpa
STU000001,Male,Engineering,1,6.8,7.8,6.2,14,1,12.24
STU000003,Female,Engineering,4,4.7,5,5,30,1,14.94
STU000004,Female,Engineering,2,6.8,7.6,8.3,31,1,15.49
STU000005,Male,Engineering,1,7,5.7,5.4,24,1,15.13
STU000006,Male,Engineering,1,5.5,6.2,4.1,31,1,17.65
STU000007,Male,Engineering,2,4.3,5,5.4,27,0,0
STU000009,Female,Engineering,1,8.7,9.5,10,0,1,9.92
STU000012,Female,Engineering,1,5.4,5.5,6.2,20,1,16.27
STU000014,Male,Engineering,1,5.1,7.1,5.9,16,1,9.77
STU000015,Male,Engineering,1,2.6,2.3,2.1,21,1,10.9
STU000016,Male,Engineering,1,8.7,9.3,9.3,34,1,16.92
STU000024,Male,Engineering,0,6.5,6.4,6.8,35,0,0
STU000026,Female,Engineering,2,4.7,6.9,6.9,0,1,10.47
STU000030,Male,Engineering,2,4.9,3.8,4,0,1,10.53
STU000032,Male,Engineering,2,7.3,9,9.1,0,1,11.11
STU000034,Female,Engineering,1,4.7,4.5,5.5,0,1,12.17
STU000037,Male,Engineering,0,4.2,3.4,3.1,33,1,13.81
STU000038,Male,Engineering,3,4.5,5.1,3.6,6,0,0
STU000041,Male,Engineering,2,3.5,4.2,5.6,14,1,8.93
STU000043,Male,Engineering,3,1.8,5.3,4.2,24,1,15.14
STU000045,Male,Engineering,1,5.7,7.6,6.4,33,1,12.22
STU000050,Male,Engineering,1,4.9,5.5,4.3,0,1,5.99
STU000052,Female,Engineering,1,6.7,8.1,7.7,0,1,9.57
STU000057,Male,Engineering,1,7.1,7.5,8.6,28,1,13.08
STU000066,Male,Engineering,1,3.5,5.2,4.1,25,1,13.53
STU000067,Male,Engineering,1,8.3,10,9.9,15,0,0
STU000068,Female,Engineering,1,6.9,5.7,7.6,0,0,0
STU000070,Other,Engineering,3,3,5.5,6.7,13,1,10.99
STU000072,Male,Engineering,4,6.7,7.2,5.8,4,1,12.14
STU000075,Female,Engineering,5,6.8,6.6,6.9,22,1,12.25
STU000082,Female,Engineering,4,5.8,5.7,6.7,22,1,14.21
STU000083,Male,Engineering,0,9.2,7.9,7.7,0,1,11.6
STU000084,Male,Engineering,2,10,9.6,9.1,0,1,15.42
STU000085,Male,Engineering,0,2.6,2.2,2,27,1,11.28
STU000086,Male,Engineering,1,5.8,6,6.1,0,1,9.63
STU000087,Female,Engineering,0,8.6,6.8,6.9,36,1,14.01
STU000088,Female,Engineering,1,2.9,2.7,3,8,0,0
STU000089,Female,Engineering,1,8.6,9.5,9.4,33,1,13.33
STU000092,Female,Engineering,2,7.3,4.4,6.1,11,1,15.53
STU000094,Female,Engineering,4,6.6,7.9,8.8,1,1,12.37
STU000095,Female,Engineering,3,7.1,3.6,4,0,1,15.16
STU000098,Male,Engineering,3,3.6,6.9,4.9,0,1,9
STU000099,Male,Engineering,1,4.7,8,6.6,35,0,0
STU000101,Male,Engineering,1,6.7,4.4,2.6,24,1,13.14
STU000104,Male,Engineering,2,2.8,3.2,4.2,16,1,15.58
STU000108,Female,Engineering,0,7.2,6.6,7.1,0,1,9.45
STU000110,Male,Engineering,0,3,3.3,3.1,4,1,6.95
STU000111,Male,Engineering,3,5.2,6.3,7.5,35,1,17.03
STU000112,Male,Engineering,0,2.8,3.4,3.8,36,1,12.15
STU000113,Female,Engineering,2,7.1,5.8,5.9,0,1,11.51
STU000117,Female,Engineering,2,5.4,6.3,6.5,0,1,8.68
STU000118,Male,Engineering,3,8.5,9.3,10,11,1,11.22
STU000120,Male,Engineering,2,7.3,8,8.8,0,1,9.12
STU000121,Female,Engineering,2,7,9.4,9.1,8,1,11.85
STU000122,Female,Engineering,2,7.9,8,7.9,0,1,14.12
STU000125,Male,Engineering,3,4.5,8.4,8.7,0,1,9.73
STU000130,Male,Engineering,2,6.6,9.5,9.7,0,1,11.58
STU000131,Male,Engineering,3,3.8,4.4,5.9,4,0,0
STU000133,Male,Engineering,0,6.3,5.2,4.4,16,1,13.61
STU000134,Male,Engineering,2,2.4,1.7,1.3,32,1,9.93
STU000135,Female,Engineering,0,7.4,9,7.5,24,1,13.97
STU000137,Male,Engineering,2,8.5,9.4,8.8,5,1,13.6
STU000138,Female,Engineering,1,6,8.9,8.8,0,1,11.5
STU000142,Male,Engineering,3,7.3,7.6,7.7,0,1,10.24
STU000143,Male,Engineering,3,6.7,6.9,7.7,0,1,17.96
STU000146,Male,Engineering,1,4.8,5.1,5.2,29,1,10.32
STU000148,Male,Engineering,0,5.5,5.3,5.6,30,1,10.73
