student_id,gender,field,internships,tech_skills,soft_skills,comm_skills,work_exp,salary
STU000001,-1,1,1,6.8,7.8,6.2,14,12.24
STU000003,1,1,4,4.7,5,5,30,14.94
STU000004,1,1,2,6.8,7.6,8.3,31,15.49
STU000005,-1,1,1,7,5.7,5.4,24,15.13
STU000006,-1,1,1,5.5,6.2,4.1,31,17.65
STU000009,1,1,1,8.7,9.5,10,0,9.92
STU000012,1,1,1,5.4,5.5,6.2,20,16.27
STU000014,-1,1,1,5.1,7.1,5.9,16,9.77
STU000015,-1,1,1,2.6,2.3,2.1,21,10.9
STU000016,-1,1,1,8.7,9.3,9.3,34,16.92
STU000026,1,1,2,4.7,6.9,6.9,0,10.47
STU000030,-1,1,2,4.9,3.8,4,0,10.53
STU000032,-1,1,2,7.3,9,9.1,0,11.11
STU000034,1,1,1,4.7,4.5,5.5,0,12.17
STU000037,-1,1,0,4.2,3.4,3.1,33,13.81
STU000041,-1,1,2,3.5,4.2,5.6,14,8.93
STU000043,-1,1,3,1.8,5.3,4.2,24,15.14
STU000045,-1,1,1,5.7,7.6,6.4,33,12.22
STU000050,-1,1,1,4.9,5.5,4.3,0,5.99
STU000052,1,1,1,6.7,8.1,7.7,0,9.57
STU000057,-1,1,1,7.1,7.5,8.6,28,13.08
STU000066,-1,1,1,3.5,5.2,4.1,25,13.53
STU000070,0,1,3,3,5.5,6.7,13,10.99
STU000072,-1,1,4,6.7,7.2,5.8,4,12.14
STU000075,1,1,5,6.8,6.6,6.9,22,12.25
STU000082,1,1,4,5.8,5.7,6.7,22,14.21
STU000083,-1,1,0,9.2,7.9,7.7,0,11.6
STU000084,-1,1,2,10,9.6,9.1,0,15.42
STU000085,-1,1,0,2.6,2.2,2,27,11.28
STU000086,-1,1,1,5.8,6,6.1,0,9.63
STU000087,1,1,0,8.6,6.8,6.9,36,14.01
STU000089,1,1,1,8.6,9.5,9.4,33,13.33
STU000092,1,1,2,7.3,4.4,6.1,11,15.53
STU000094,1,1,4,6.6,7.9,8.8,1,12.37
STU000095,1,1,3,7.1,3.6,4,0,15.16
STU000098,-1,1,3,3.6,6.9,4.9,0,9
STU000101,-1,1,1,6.7,4.4,2.6,24,13.14
STU000104,-1,1,2,2.8,3.2,4.2,16,15.58
STU000108,1,1,0,7.2,6.6,7.1,0,9.45
STU000110,-1,1,0,3,3.3,3.1,4,6.95
STU000111,-1,1,3,5.2,6.3,7.5,35,17.03
STU000112,-1,1,0,2.8,3.4,3.8,36,12.15
STU000113,1,1,2,7.1,5.8,5.9,0,11.51
STU000117,1,1,2,5.4,6.3,6.5,0,8.68
STU000118,-1,1,3,8.5,9.3,10,11,11.22
STU000120,-1,1,2,7.3,8,8.8,0,9.12
STU000121,1,1,2,7,9.4,9.1,8,11.85
STU000122,1,1,2,7.9,8,7.9,0,14.12
STU000125,-1,1,3,4.5,8.4,8.7,0,9.73
STU000130,-1,1,2,6.6,9.5,9.7,0,11.58
STU000133,-1,1,0,6.3,5.2,4.4,16,13.61
STU000134,-1,1,2,2.4,1.7,1.3,32,9.93
STU000135,1,1,0,7.4,9,7.5,24,13.97
STU000137,-1,1,2,8.5,9.4,8.8,5,13.6
STU000138,1,1,1,6,8.9,8.8,0,11.5
STU000142,-1,1,3,7.3,7.6,7.7,0,10.24
STU000143,-1,1,3,6.7,6.9,7.7,0,17.96
STU000146,-1,1,1,4.8,5.1,5.2,29,10.32
STU000148,-1,1,0,5.5,5.3,5.6,30,10.73
STU000153,-1,1,1,4.3,5.1,5.1,14,14.95
STU000157,1,1,0,5.5,8,6.4,20,18.69
STU000159,-1,1,1,7.4,6.8,7.2,0,14.75
STU000165,-1,1,0,9.9,10,8.6,10,13.09
STU000167,-1,1,2,7.6,8,9.4,0,11.02
STU000170,1,1,4,8.1,6.4,6.9,21,12.6
STU000172,-1,1,0,5.4,4.2,3.9,36,17.58
STU000173,-1,1,2,7.1,8,7.6,0,9.1
STU000174,-1,1,5,1.8,1.2,1.7,5,10.03
STU000176,-1,1,2,7.9,9.7,10,0,10.57
STU000179,1,1,1,2.7,2.2,2.1,30,11.45
STU000180,-1,1,3,4.8,8.7,9.9,0,8.77
STU000181,-1,1,5,2.9,2.8,2.3,25,15.7
STU000182,-1,1,3,8,9.9,10,22,11.42
STU000183,1,1,1,8.9,9.5,10,13,14.66
STU000184,1,1,4,4.3,3.8,2.7,0,13.18
STU000188,1,1,1,7.5,8.7,8.5,1,14.63
STU000189,-1,1,2,8.5,8,8.2,10,15.67
STU000191,-1,1,1,2.6,5.2,6.1,12,11.04
STU000205,1,1,3,5,6.5,6.3,0,14.15
STU000206,-1,1,2,4.9,3.8,3.9,20,13.37
STU000207,-1,1,2,7.5,10,9.7,0,15.13
STU000208,1,1,3,6,8.5,8.8,0,10.7
STU000210,-1,1,2,6.3,6.6,5.4,13,15.39
STU000214,-1,1,2,3.6,5.2,4.6,0,8.7
STU000216,-1,1,1,9,7.3,6.3,0,13.66
STU000218,1,1,2,5.9,7.2,7.6,0,10.19
STU000224,-1,1,0,6.8,6.6,5.4,13,10.24
STU000227,1,1,4,1.2,1.4,1,7,10.16
STU000230,1,1,5,8,10,10,20,12.23
STU000231,1,1,2,7.8,6.3,7.4,7,13.3
STU000234,-1,1,4,7.7,4.9,4.1,0,11.31
STU000238,-1,1,2,6.8,10,8.5,0,9.64
STU000241,1,1,1,7.3,10,9.6,18,15.66
STU000243,1,1,5,7,7.1,7.1,0,12.32
STU000245,-1,1,3,6.6,9.1,10,35,13.37
STU000248,1,1,0,2.1,2.4,3.3,0,10.96
STU000258,1,1,1,5.7,6.8,7.6,0,9.26
STU000259,1,1,1,6.8,9.8,8.8,0,12.75
STU000261,1,1,2,7.4,4.4,5.7,0,11.29
STU000262,0,1,1,4.8,2.8,3.9,23,11.84
STU000263,-1,1,0,9.2,9.5,9.1,31,12.5
STU000264,-1,1,1,3.7,1.9,1,16,10.69
STU000265,1,1,0,9.3,9.5,9.6,22,18.63
STU000266,1,1,3,5.1,6.7,6.1,0,13.7
STU000271,1,1,1,6.6,8.3,7.5,7,12.37
STU000273,1,1,3,4.4,6.5,7.4,23,10.51
STU000274,1,1,1,7.7,7.1,6,30,15.4
STU000275,-1,1,2,4.1,7.9,7.6,0,14.26
STU000282,-1,1,3,6.4,5.7,5.8,18,14.93
STU000283,-1,1,1,6,7.6,5.6,2,11.3
STU000287,-1,1,0,7,7.2,6.9,20,10.8
STU000290,1,1,1,5.7,6.6,6.5,0,10.23
STU000292,-1,1,1,8.7,9.2,8.8,2,9.6
STU000297,1,1,2,7.3,8.2,8.7,0,10.35
STU000300,-1,1,0,7.8,7.6,6.5,0,11.21
STU000301,-1,1,2,6.3,7.1,10,1,11.85
STU000304,1,1,3,9.2,10,9.8,21,12.16
STU000307,-1,1,1,5.7,5.6,6.9,35,13.21
STU000308,-1,1,2,7.1,8.8,7.1,36,14.47
STU000313,-1,1,0,6.1,2.6,3.2,11,11.79
STU000314,1,1,1,3.4,6.4,5.4,0,9.87
STU000318,-1,1,0,7.3,10,10,14,13.64
STU000319,-1,1,1,7.4,7.2,7.2,34,17.09
STU000320,-1,1,5,4,6.3,6.2,26,15.32
STU000322,1,1,4,9.3,9.7,9.4,11,15.71
STU000325,1,1,3,7.2,7.4,7.8,30,14.81
STU000327,1,1,1,5.9,4.8,5.1,34,11.8
STU000334,-1,1,1,5.2,7.2,6.8,32,10.36
STU000340,-1,1,1,2.7,6,6.8,31,17.29
STU000341,-1,1,3,10,10,9.3,22,18.7
STU000347,1,1,4,8,6.9,9.7,0,13.54
STU000354,-1,1,0,7.3,6.2,8.1,0,11.12
STU000355,-1,1,1,7.3,6.4,6,0,11.62
STU000359,1,1,1,4.9,7.6,8.4,8,13.11
STU000361,-1,1,0,4.4,5.4,5,0,8.42
STU000362,1,1,2,6.5,6.4,4.9,0,12.57
STU000365,1,1,2,5.2,5.4,4.6,0,13.12
STU000367,1,1,0,8.8,10,9,0,16
STU000368,1,1,4,6.1,7,6.5,31,16.85
STU000370,-1,1,1,4.4,5.1,5.1,22,10.74
STU000375,-1,1,0,8.8,8.1,7.2,8,12.14
STU000376,-1,1,0,7.7,4.3,2.6,28,13.3
STU000377,1,1,2,7.3,6.8,6.9,0,9.64
STU000379,1,1,4,5.8,5.9,4,0,8.57
STU000382,1,1,1,3.9,4.6,3.2,0,9.83
STU000395,-1,1,1,6.1,8,8.5,8,12.11
STU000397,1,1,0,7,10,9.1,7,12.99
STU000398,-1,1,3,2,4.7,4.8,6,13.83
STU000400,1,1,2,8.6,9.9,9.5,0,15.06
STU000401,-1,1,4,7.1,7.8,7.4,33,16.92
STU000408,-1,1,0,5.8,9,10,12,12.71
STU000409,1,1,2,2.9,6.1,6.4,0,10.75
STU000411,-1,1,1,3.8,5.6,4.7,6,13.22
STU000416,-1,1,3,6.8,6.5,5.2,8,15.73
STU000417,-1,1,2,8.9,9.3,8.3,0,11.11
STU000420,1,1,2,4.6,6.8,5.2,0,9.73
STU000425,-1,1,3,3.5,5.7,5.5,0,12.41
STU000427,-1,1,0,5.4,4.7,5.3,15,12.1
STU000430,-1,1,3,5.5,8,8.5,11,8.69
STU000434,-1,1,2,8.3,8,7.9,0,10.87
STU000437,-1,1,2,6.3,6.4,7.9,0,9.06
STU000438,1,1,3,6.7,4.3,4.1,0,12.97
STU000444,-1,1,3,8.5,8,9.4,20,13.37
STU000461,-1,1,2,3.6,5.7,7.4,34,12.65
STU000465,1,1,2,7.8,9.9,9.9,0,10.04
STU000467,-1,1,1,4.9,6.2,5.4,16,8.87
STU000469,-1,1,1,8.2,8.4,7.9,3,9.98
STU000478,1,1,3,8.2,7.1,6.9,23,20.33
STU000480,-1,1,2,5.8,4.5,4.4,0,11.67
STU000481,1,1,2,4.3,5,4.3,23,16.38
STU000482,1,1,1,3.5,4.2,3.7,18,10.09
STU000484,1,1,1,7,6,6.5,9,10.17
STU000487,-1,1,3,8.7,10,10,0,13.53
STU000488,-1,1,2,6.7,7.8,6.9,0,9.86
STU000492,1,1,0,8,10,9.6,17,15.96
STU000499,1,1,5,5.8,6.4,6,0,16.06
STU000501,1,1,0,7.6,7.7,7.8,0,11.11
STU000502,-1,1,3,4.9,2.4,1.1,0,9.98
STU000505,1,1,0,6.6,7.1,7.6,0,8.54
STU000507,1,1,2,5.8,5,4.7,27,11.1
STU000509,1,1,0,8.7,9.8,10,17,13.91
STU000511,1,1,4,5.3,4.9,4.4,0,11.83
STU000519,0,1,1,6.3,6.5,6.2,0,7.03
STU000521,1,1,0,4.4,8,6.9,0,8.49
STU000527,-1,1,1,6.6,6.5,5.8,27,12.05
STU000532,0,1,1,5.9,5.4,5,30,10.6
STU000539,-1,1,2,7.8,5.3,5.3,14,13.98
STU000540,-1,1,1,7.7,8.9,9.8,0,11.21
STU000542,1,1,1,6.3,8.7,9.5,0,11.2
STU000543,-1,1,4,8.4,7.9,7.7,0,10.75
STU000547,-1,1,1,7,8.4,8.5,28,17.18
STU000557,-1,1,2,6.2,7.8,8.4,0,11.22
STU000559,1,1,5,10,10,9,24,16.74
STU000560,1,1,1,7.3,8,9.3,0,9.03
STU000574,1,1,0,6.4,6.7,6.5,12,10.41
STU000575,1,1,1,4.6,5.8,5.4,7,8.8
STU000576,1,1,1,8.9,10,9.4,6,8.63
STU000577,-1,1,1,5.9,5.7,5.6,36,12.55
STU000580,-1,1,1,7.4,7.9,6.6,19,13.49
STU000582,0,1,2,9,9.9,10,32,18.59
STU000588,-1,1,0,8.4,10,10,0,12.91
STU000602,-1,1,2,8.1,9.7,10,0,13.38
STU000603,-1,1,4,2.1,1.4,2.6,0,11.27
STU000605,-1,1,2,5.4,8.7,8.8,20,11.46
STU000606,-1,1,3,3,5,6.7,17,13.43
STU000611,-1,1,1,6.2,8.5,9.4,30,12.83
STU000617,-1,1,1,7.7,9.7,9.2,0,12.25
STU000619,1,1,1,2.1,2.1,2.2,0,9.45
STU000620,1,1,0,7.1,7.8,7.8,24,11.44
STU000621,-1,1,2,5.9,7.4,9,10,11.46
STU000625,1,1,0,7.6,9.3,7.3,0,7.99
STU000627,-1,1,2,3.8,4.2,4,0,13.71
STU000632,1,1,1,4.2,4.6,5.7,15,12.81
STU000636,-1,1,3,5.6,6,5.7,0,14.61
STU000637,-1,1,2,6.7,7.5,7,0,12.77
STU000641,-1,1,2,4,5.8,6.3,0,11.23
STU000642,-1,1,1,7,8.3,8.2,0,13.58
STU000644,-1,1,3,5.5,6.7,6.7,10,12.72
STU000646,1,1,2,3.7,3.9,4.9,7,10.57
STU000647,1,1,1,9.7,8.2,7.6,9,14.86
STU000651,-1,1,1,6.6,9.4,9.2,26,11.68
STU000652,-1,1,2,4.3,3.9,4.9,0,12.89
STU000660,1,1,2,7.2,7.4,6.6,3,15.56
STU000661,-1,1,1,6.6,9.3,8.4,20,12.57
STU000663,1,1,0,6.4,4.2,3.4,0,13.87
STU000671,-1,1,3,7.9,7.4,7.2,11,17.62
STU000676,0,1,3,3.5,3.5,5.2,28,18.77
STU000677,-1,1,0,6.2,4.9,4.3,18,11.95
STU000680,1,1,1,10,10,10,0,8.29
STU000683,-1,1,0,6.1,6,5.6,28,15.78
STU000685,1,1,0,4.9,4.7,5,0,7.11
STU000688,-1,1,3,7.5,7.6,6.2,18,12.52
STU000695,-1,1,1,5.3,6.3,7.4,0,7.73
STU000700,-1,1,2,5.2,5.5,4.7,0,12.71
STU000702,-1,1,2,3.7,3.5,3.3,21,10.17
STU000704,-1,1,1,10,8.8,6.5,0,12.77
STU000708,1,1,2,1,1,1,0,9.39
STU000709,-1,1,1,6.1,5.8,6,0,17.63
STU000711,1,1,0,7.2,8.3,8.4,4,8.87
STU000713,-1,1,1,5.8,7.3,7.3,0,10.56
STU000715,-1,1,0,5.9,7.1,8.2,0,10.87
STU000717,1,1,2,4,6.5,5.8,0,9.48
STU000720,1,1,4,8.6,9.4,10,8,9.91
STU000728,1,1,0,3.9,6.3,4.8,1,9.24
STU000733,1,1,4,2.5,2.9,2.7,15,9.87
STU000736,1,1,1,4.8,2.1,1.4,22,8.73
STU000742,-1,1,0,6.4,7.6,6.5,27,14
STU000747,-1,1,1,7.7,9.2,9.2,0,9.03
STU000748,-1,1,2,5.9,4.5,4.4,6,12.05
STU000751,-1,1,1,7.9,8.6,8.2,18,9.75
STU000752,1,1,1,6.5,6.4,4.7,21,10.37
STU000755,-1,1,2,6.9,7.4,7.5,34,11.93
STU000757,1,1,2,6.1,7.4,6,0,11.28
STU000760,1,1,5,2.9,1,1,0,12.58
STU000761,-1,1,1,10,10,8.1,24,14.03
STU000763,-1,1,1,4,5.4,4,0,10.71
STU000766,1,1,0,10,9.1,9.7,24,12.06
STU000778,1,1,3,5.3,6.1,4,0,11.44
STU000780,1,1,0,5.2,4.1,4.7,10,13.19
STU000781,1,1,1,7.9,9.8,10,25,10.73
STU000782,-1,1,1,3.6,3.8,3.5,12,11.46
STU000788,-1,1,1,1.8,5.6,5.5,15,9.69
STU000790,1,1,2,7.5,4.7,4.6,0,10.38
STU000791,-1,1,5,6.5,6.9,7.5,36,18.57
STU000793,-1,1,2,2.1,1.3,1,0,7.98
STU000794,1,1,2,8.8,8.6,8.3,0,15.67
STU000796,1,1,3,6.2,6.7,6.7,0,9.76
STU000798,1,1,0,6.8,6,6,17,11.46
STU000804,1,1,1,6.6,4.8,4,0,11
STU000806,1,1,1,6.7,7.4,8.1,13,11.68
STU000809,-1,1,4,7.6,7.7,9.1,6,10.8
STU000810,-1,1,2,3.6,4.4,4.2,23,11.09
STU000812,1,1,3,5.4,8.2,8.2,15,12.01
STU000813,-1,1,1,4.1,7.1,6.3,5,8.26
STU000815,1,1,1,4.2,4.4,4.2,11,10.47
STU000817,1,1,1,10,10,10,26,14.48
STU000818,-1,1,4,8.5,9.9,7.9,0,12.23
STU000819,-1,1,1,8.1,8.9,10,24,14.71
STU000826,1,1,3,2.1,2.1,1,17,9.69
STU000827,-1,1,2,7.9,8.6,7.5,0,10.88
STU000828,-1,1,3,8,8.3,9.1,31,19.17
STU000829,1,1,1,7.7,7.4,6.5,0,16.52
STU000832,-1,1,0,5.3,6.4,7.3,14,9.78
STU000833,-1,1,1,4.7,3.3,3.2,18,11.93
STU000834,-1,1,2,6.5,9.1,8.5,0,11.76
STU000835,-1,1,0,3.8,4,5,29,14.42
STU000836,-1,1,3,4,3.9,2.9,36,15.28
STU000839,1,1,3,5.8,5.9,4.4,0,10.42
STU000840,1,1,1,5.4,6.5,5.2,18,16.53
STU000844,1,1,1,6.4,9.3,10,0,10.18
STU000845,-1,1,1,3.6,3.8,4.4,0,11.13
STU000847,-1,1,2,1.6,2.7,3.7,0,9.23
STU000852,1,1,1,8.2,8.9,8.3,8,15.39
STU000854,1,1,2,3.9,3.9,3.2,25,13.64
STU000858,-1,1,0,7.7,7.3,8.3,0,10.8
STU000859,1,1,2,6.9,4.6,3.5,27,13.71
STU000861,1,1,0,4.7,6,7.3,0,6.83
STU000865,-1,1,1,5.4,5.3,4,29,11.49
STU000866,1,1,4,6.1,7.2,6.7,0,10.44
STU000869,1,1,1,4.9,5.2,4.4,31,13.75
STU000871,-1,1,2,8,6.5,8.5,29,14.52
STU000874,-1,1,3,7.6,10,8.6,0,10.52
STU000875,-1,1,2,3.7,2.7,2.9,12,8.21
STU000882,1,1,2,6.2,5.2,5.8,25,11.47
STU000884,-1,1,1,6.1,6.9,7.9,15,11.57
STU000887,1,1,1,6.7,6.3,6,0,11.93
STU000894,-1,1,4,3.7,3.4,1.4,0,12.58
STU000895,1,1,0,6,7.4,6,0,12.12
STU000897,-1,1,0,4.3,2.7,2.8,5,9.22
STU000898,1,1,1,8.6,8.3,8.4,0,12.64
STU000899,-1,1,2,5.4,4.2,5.6,22,15.68
STU000900,-1,1,3,8.7,9,8.2,36,17.5
STU000903,-1,1,1,4.7,3.8,3.7,0,5.62
STU000907,1,1,0,4.8,5.8,5,0,14.73
STU000914,-1,1,1,9.3,10,8.3,17,13.94
STU000918,1,1,3,6.9,5.6,5.4,33,13.43
STU000923,1,1,1,8.4,9.7,10,11,12.02
STU000924,1,1,2,6.9,7.5,6.7,0,12.82
STU000925,-1,1,2,6.2,5.1,4.6,0,7.5
STU000926,-1,1,0,7.7,9.6,10,0,10.06
STU000928,-1,1,0,5.4,5.9,6.4,19,9.82
STU000932,1,1,5,3.6,6.1,6,5,10.57
STU000933,0,1,2,2.2,1,1,0,10.03
STU000935,-1,1,2,5.4,5.3,4.6,14,9.84
STU000937,-1,1,3,5.9,8.7,7.6,10,10.75
STU000939,-1,1,1,6.5,6,3.4,7,11.77
STU000946,-1,1,2,7.8,5.8,5.7,10,10.48
STU000947,-1,1,2,5.5,5,5.4,10,14.19
STU000949,1,1,0,5.5,5.5,5.6,0,12.81
STU000953,-1,1,1,6.2,6.5,5.6,0,11.11
STU000958,-1,1,0,7.9,9.8,9.6,26,10.1
STU000961,-1,1,3,5.3,6.6,6.4,33,11.11
STU000964,-1,1,0,7.7,7.3,5.6,25,10.61
STU000966,-1,1,5,5.8,7.9,7.5,0,14.17
STU000976,-1,1,2,2.1,2.5,1.6,8,10.06
STU000977,1,1,2,6.6,5.7,4.6,20,12.11
STU000978,-1,1,2,7.1,9.5,9.7,33,13.78
STU000985,1,1,1,1.2,3,4.1,30,15.27
STU000992,1,1,3,5.5,5.7,6.7,32,14.39
STU000993,-1,1,0,4.2,3.5,3.2,19,6.84
STU000994,1,1,3,3.3,3.5,3.1,0,11.87
STU001000,-1,1,3,7,8.3,9.6,23,15.7
STU001004,1,1,1,8.9,10,10,3,11.96
STU001005,1,1,2,4.5,6.5,7.8,2,14.58
STU001007,1,1,2,8.2,10,8.2,0,7.26
STU001019,1,1,2,7.8,7.3,6.8,19,11.77
STU001028,1,1,0,5.1,4.5,5,0,11.09
STU001030,1,1,4,3.4,4.1,3.5,35,15.91
STU001031,-1,1,4,6.2,7.5,7.4,30,20.38
STU001034,-1,1,2,3.3,5.6,6.4,0,13.19
STU001039,-1,1,4,8.5,9.8,9.6,0,14.93
STU001044,1,1,3,8.2,8,9,29,13.15
STU001049,1,1,3,7,6,7.3,0,13.31
STU001050,-1,1,3,8,8.1,8.1,19,13.3
STU001051,1,1,2,1.5,1,1,0,9.9
STU001057,1,1,1,8.7,10,10,3,12.96
STU001058,-1,1,0,3.7,2.2,1,28,14.53
STU001059,-1,1,3,4.6,8.4,8.8,20,10.61
STU001061,1,1,2,6.8,8.1,7.1,0,9.65
STU001063,1,1,2,8.2,8.5,9.1,0,10.01
STU001067,-1,1,1,6,5.6,6.7,24,11.18
STU001072,-1,1,3,8.4,7.2,5.8,0,12.61
STU001074,-1,1,2,6.2,8,8.5,0,15.32
STU001076,-1,1,2,4.4,4.6,4.3,30,11.35
STU001077,-1,1,0,6.9,8.1,9,0,11.64
STU001082,-1,1,2,7.4,9.9,9.9,0,15.63
STU001084,1,1,1,5.3,7,9.7,0,12.74
STU001087,1,1,2,8.6,7.3,9,8,13.55
STU001088,-1,1,0,7.7,7.8,7.7,1,11.89
STU001089,0,1,1,10,10,9.2,24,13.17
STU001092,1,1,1,8.5,10,10,0,14.29
STU001094,-1,1,1,6.4,4.3,6.6,15,9.58
STU001101,-1,1,3,4.1,2.4,2.4,0,14.08
STU001102,1,1,2,7.8,6.8,6.1,35,16.1
STU001103,1,1,2,3.8,2.6,2.5,5,13.74
STU001106,-1,1,2,6.8,9.5,9.4,10,13.28
STU001109,1,1,3,6.3,4.4,4.6,0,10.97
STU001110,-1,1,1,7.3,7.8,9.2,0,8.94
STU001113,-1,1,1,6.6,4.8,4.6,29,12.28
STU001114,-1,1,3,6.3,5.9,4.6,19,15.2
STU001118,1,1,2,1.4,2.5,2.5,0,8.22
STU001122,1,1,2,7.9,8.5,8.5,0,13.39
STU001125,1,1,0,5.1,6,5.8,0,9.02
STU001126,1,1,1,4,6,8.1,0,10.52
STU001127,-1,1,1,4.3,3.5,3.5,0,7.62
STU001128,-1,1,0,8.1,9.2,7.1,0,13.46
STU001129,-1,1,2,4.5,6,5.2,0,10.24
STU001133,-1,1,1,8.9,8.6,10,34,14.6
STU001134,-1,1,2,5,3.2,2.1,33,12.3
STU001137,1,1,1,8.3,8.4,9.1,28,11.98
STU001138,-1,1,0,3.4,3.9,4.6,26,8.51
STU001139,-1,1,1,7.2,9.1,10,25,13.88
STU001140,1,1,4,7.6,5.5,6.3,28,16.33
STU001144,1,1,2,1,1.2,1,0,12.45
STU001150,1,1,1,6.7,8.9,9.4,19,11.51
STU001152,1,1,1,6.6,8.1,8.6,29,10.92
STU001158,1,1,1,7.9,9.9,9.5,0,8.81
STU001161,1,1,1,1.3,1.9,3,0,8.26
STU001165,-1,1,0,9,8.9,7.9,0,9.56
STU001168,-1,1,2,4.4,1.5,2,0,10.53
STU001169,-1,1,2,7.2,7.9,7.9,31,13.95
STU001170,-1,1,2,5.2,6.3,6.3,0,12.64
STU001174,-1,1,2,4.6,8,7.6,0,11.14
