f1,f2,f3,class0,class1
0.25,0.09,0.02,1,0
0.14,0.29,0.26,1,0
0.03,0.25,0.18,1,0
0.77,0.82,0.9,0,1
0.77,0.97,0.96,0,1
0.12,0.07,0.3,1,0
0.73,0.87,0.78,0,1
0.08,0.18,0.27,1,0
0.96,0.81,0.75,0,1
0.27,0.26,0.09,1,0
1,0.72,0.76,0,1
0.07,0.03,0.08,1,0
0.98,0.95,0.75,0,1
0.26,0.28,0.03,1,0
0.19,0.01,0.08,1,0
0.26,0.09,0.2,1,0
0.08,0.15,0.05,1,0
0.29,0.1,0.03,1,0
0.92,0.87,0.83,0,1
0.88,0.92,0.76,0,1
0.22,0.06,0.09,1,0
0.79,0.99,0.87,0,1
0.26,0,0.22,1,0
0.76,0.88,0.9,0,1
0.83,0.83,0.84,0,1
0.24,0.22,0.16,1,0
0.23,0.16,0.23,1,0
0.08,0.06,0.28,1,0
1,0.9,0.7,0,1
1,0.95,0.99,0,1
0.76,0.74,0.98,0,1
0.24,0,0.24,1,0
0.27,0.03,0.13,1,0
0.19,0.03,0.13,1,0
0.29,0.11,0.17,1,0
0.98,0.74,0.73,0,1
0.21,0.1,0.05,1,0
0.86,0.74,0.77,0,1
0.83,0.78,0.7,0,1
0.85,0.76,0.82,0,1
0.96,0.87,0.72,0,1
0.3,0.16,0.29,1,0
0.16,0,0.1,1,0
0.87,0.84,0.94,0,1
0.95,0.91,0.88,0,1
0.77,0.98,0.83,0,1
0.06,0.08,0.28,1,0
0.21,0.25,0.23,1,0
0.12,0.27,0.14,1,0
0.73,0.82,0.8,0,1
0.98,0.76,0.91,0,1
0.07,0.22,0.2,1,0
0.77,0.72,0.89,0,1
0.96,0.77,0.76,0,1
1,0.89,0.83,0,1
0.83,0.83,0.78,0,1
0.77,0.74,0.97,0,1
0.87,0.92,0.75,0,1
0.15,0.03,0.01,1,0
0.94,0.76,0.73,0,1
0.89,0.78,0.85,0,1
0.25,0.19,0.26,1,0
0.07,0.09,0.02,1,0
0.92,0.9,1,0,1
0.93,0.89,0.78,0,1
0.13,0.06,0.16,1,0
0.79,0.79,0.93,0,1
0.75,0.99,0.72,0,1
0.2,0.16,0.08,1,0
0.72,0.84,1,0,1
0.97,0.95,0.73,0,1
0.01,0.28,0.26,1,0
0.88,0.85,0.96,0,1
0.01,0.07,0.15,1,0
0.83,0.88,0.86,0,1
0.07,0.01,0.09,1,0
0.3,0.19,0.17,1,0
0.03,0.19,0.24,1,0
0.7,0.72,0.96,0,1
0.77,0.88,0.89,0,1
0.8,0.88,0.77,0,1
0.83,0.99,1,0,1
0.78,0.98,0.96,0,1
0.17,0.21,0.01,1,0
0.13,0.02,0.11,1,0
0.08,0.07,0.17,1,0
0.15,0.02,0.23,1,0
0.95,0.79,0.9,0,1
0.23,0.04,0.14,1,0
0.19,0.18,0.05,1,0
0.16,0.07,0.18,1,0
0.19,0.11,0.11,1,0
0.72,0.77,0.9,0,1
0.19,0.18,0.05,1,0
0.78,0.94,0.84,0,1
0.86,0.92,0.72,0,1
0.16,0.08,0.26,1,0
0.01,0.06,0.19,1,0
0.72,0.81,1,0,1
0.22,0.05,0.11,1,0
